z	By
0.0	9.643909976153601e-11
0.09999999999990905	-2.3968635964877e-09
0.1999999999998181	-4.8851087619539e-09
0.3000000000001819	-7.3804651279374e-09
0.40000000000009095	-9.8707584328395e-09
0.5	-1.2368166046883e-08
0.599999999999909	-1.486660039518e-08
0.6999999999998181	-1.735996946195e-08
0.8000000000001819	-1.9860459943288e-08
0.900000000000091	-2.2355868267709e-08
1.0	-2.4858412217554e-08
1.099999999999909	-2.7361982901652e-08
1.199999999999818	-2.986047320519e-08
1.300000000000182	-3.2366092028724e-08
1.400000000000091	-3.4866619813556e-08
1.5	-3.7374302763737e-08
1.599999999999909	-3.9883005342745e-08
1.699999999999818	-4.2386609777623e-08
1.800000000000182	-4.489736937785e-08
1.900000000000091	-4.7403023728521e-08
2.0	-4.9915829691827e-08
2.099999999999909	-5.2429662389386e-08
2.199999999999818	-5.493840049553e-08
2.300000000000182	-5.7454283108882e-08
2.400000000000091	-5.9965060472678e-08
2.5	-6.2482996554536e-08
2.599999999999909	-6.5001955817934e-08
2.699999999999818	-6.7515827595344e-08
2.800000000000182	-7.0036840327248e-08
2.900000000000091	-7.2552758467737e-08
3.0	-7.507581756272e-08
3.099999999999909	-7.7599921155524e-08
3.199999999999818	-8.0118894629777e-08
3.300000000000182	-8.2645044585661e-08
3.400000000000091	-8.5166057317565e-08
3.5	-8.7694267847382e-08
3.599999999999909	-9.0223508664167e-08
3.699999999999818	-9.2747598046117e-08
3.800000000000182	-9.527888522598e-08
3.900000000000091	-9.7805028076436e-08
4.0	-1.0033836872481e-07
4.099999999999909	-1.0287273966014e-07
4.199999999999818	-1.0540194494979e-07
4.300000000000182	-1.0793837645906e-07
4.400000000000091	-1.1046964232264e-07
4.5	-1.1300810598414e-07
4.599999999999909	-1.1554760703802e-07
4.699999999999818	-1.1808192823537e-07
4.800000000000182	-1.2062351117947e-07
4.900000000000091	-1.2315986452904e-07
5.0	-1.2570350804708e-07
5.099999999999909	-1.2824810369239e-07
5.199999999999818	-1.3078758342999e-07
5.300000000000182	-1.3333425386008e-07
5.400000000000091	-1.3587577996077e-07
5.5	-1.3842449675394e-07
5.599999999999909	-1.4097426515036e-07
5.699999999999818	-1.4351883237396e-07
5.800000000000182	-1.4607067555517e-07
5.900000000000091	-1.4861728914184e-07
6.0	-1.5117117868613e-07
6.099999999999909	-1.537260772011e-07
6.199999999999818	-1.5627574612154e-07
6.300000000000182	-1.5883273363215e-07
6.400000000000091	-1.6138447733738e-07
6.5	-1.6394349700022e-07
6.599999999999909	-1.6650352563374e-07
6.699999999999818	-1.6905833888359e-07
6.800000000000182	-1.7162042809105e-07
6.900000000000091	-1.7417730191482e-07
7.0	-1.7674140906365e-07
7.099999999999909	-1.7930659623744e-07
7.199999999999818	-1.8186652539498e-07
7.300000000000182	-1.8443373051014e-07
7.400000000000091	-1.8699574866332e-07
7.5	-1.8956501435241e-07
7.599999999999909	-1.9213533164475e-07
7.699999999999818	-1.9470036249913e-07
7.800000000000182	-1.9727274036541e-07
7.900000000000091	-1.9983984600458e-07
8.0	-2.0241421339051e-07
8.099999999999909	-2.0498964659055e-07
8.199999999999818	-2.0755983598519e-07
8.300000000000182	-2.1013732975916e-07
8.400000000000091	-2.1270956551689e-07
8.5	-2.1528910565394e-07
8.599999999999909	-2.1786968318338e-07
8.699999999999818	-2.2044497427487e-07
8.800000000000182	-2.2302758395654e-07
8.900000000000091	-2.2560493562196e-07
9.0	-2.2818960587756e-07
9.099999999999909	-2.3077535615812e-07
9.199999999999818	-2.3335574894645e-07
9.300000000000182	-2.3594350295753e-07
9.400000000000091	-2.385259847415e-07
9.5	-2.411157709048e-07
9.599999999999909	-2.4370660867135e-07
9.699999999999818	-2.4629213157823e-07
9.800000000000182	-2.4888504412957e-07
9.900000000000091	-2.5147264182124e-07
10.0	-2.5406757231394e-07
10.099999999999909	-2.566635544099e-07
10.199999999999818	-2.5925419322448e-07
10.300000000000182	-2.6185225010522e-07
10.400000000000091	-2.6444496370459e-07
10.5	-2.6704501010499e-07
10.599999999999909	-2.6964613653035e-07
10.699999999999818	-2.7224189125263e-07
10.800000000000182	-2.7484503561936e-07
10.900000000000091	-2.7744289354814e-07
11.0	-2.8004808427795e-07
11.099999999999909	-2.8265432661101e-07
11.199999999999818	-2.852552256627e-07
11.300000000000182	-2.8786354278054e-07
11.400000000000091	-2.9046648819531e-07
11.5	-2.9307679483281e-07
11.599999999999909	-2.9568820991699e-07
11.699999999999818	-2.9829419645466e-07
11.800000000000182	-3.0090765790192e-07
11.900000000000091	-3.0351571922438e-07
12.0	-3.0613117019129e-07
12.099999999999909	-3.0874767276146e-07
12.199999999999818	-3.1135880362854e-07
12.300000000000182	-3.139774094052e-07
12.400000000000091	-3.1659055821365e-07
12.5	-3.1921118193168e-07
12.599999999999909	-3.2183280040954e-07
12.699999999999818	-3.2444907560603e-07
12.800000000000182	-3.2707279729038e-07
12.900000000000091	-3.2969109042824e-07
13.0	-3.3231680163226e-07
13.099999999999909	-3.3494359286124e-07
13.199999999999818	-3.3756498396542e-07
13.300000000000182	-3.4019384997919e-07
13.400000000000091	-3.4281725902474e-07
13.5	-3.4544811455817e-07
13.599999999999909	-3.4808002169484e-07
13.699999999999818	-3.5070650028501e-07
13.800000000000182	-3.5334051062819e-07
13.900000000000091	-3.5596903558144e-07
14.0	-3.5860506386598e-07
14.099999999999909	-3.6124205848864e-07
14.199999999999818	-3.6387368140822e-07
14.300000000000182	-3.665128360808e-07
14.400000000000091	-3.6914647694175e-07
14.5	-3.7178759271228e-07
14.599999999999909	-3.7442978850777e-07
14.699999999999818	-3.7706649891334e-07
14.800000000000182	-3.7971079791532e-07
14.900000000000091	-3.8234952626226e-07
15.0	-3.8499584320562e-07
15.099999999999909	-3.8764312648709e-07
15.199999999999818	-3.9028500964378e-07
15.300000000000182	-3.9293436771004e-07
15.400000000000091	-3.9557826880809e-07
15.5	-3.9822973008086e-07
15.599999999999909	-4.0088212927003e-07
15.699999999999818	-4.0352912833441e-07
15.800000000000182	-4.0618360230837e-07
15.900000000000091	-4.0883259089242e-07
16.0	-4.1148916807288e-07
16.09999999999991	-4.1414676843488e-07
16.199999999999818	-4.1679885498525e-07
16.300000000000182	-4.1945847328861e-07
16.40000000000009	-4.2211260620206e-07
16.5	-4.2477432771193e-07
16.59999999999991	-4.2743707240334e-07
16.699999999999818	-4.300942748614e-07
16.800000000000182	-4.3275903749418e-07
16.90000000000009	-4.3541831473703e-07
17.0	-4.3808512373289e-07
17.09999999999991	-4.4075295591028e-07
17.199999999999818	-4.4341530269776e-07
17.300000000000182	-4.4608515281652e-07
17.40000000000009	-4.4874957438878e-07
17.5	-4.5142152771405e-07
17.59999999999991	-4.5409447579914e-07
17.699999999999818	-4.5676193849431e-07
17.800000000000182	-4.5943696136419e-07
17.90000000000009	-4.6210649884415e-07
18.0	-4.6478356807711e-07
18.09999999999991	-4.6746171733503e-07
18.199999999999818	-4.701342959379e-07
18.300000000000182	-4.7281446313718e-07
18.40000000000009	-4.7548905968142e-07
18.5	-4.7817133008721e-07
18.59999999999991	-4.8085450998769e-07
18.699999999999818	-4.8353223291997e-07
18.800000000000182	-4.8621751602695e-07
18.90000000000009	-4.8889728532231e-07
19.0	-4.9158461479237e-07
19.09999999999991	-4.9427302428739e-07
19.199999999999818	-4.9695580628395e-07
19.300000000000182	-4.9964626214205e-07
19.40000000000009	-5.023311473451e-07
19.5	-5.0502359272286e-07
19.59999999999991	-5.0771711812558e-07
19.699999999999818	-5.1040507287325e-07
19.800000000000182	-5.1310058779563e-07
19.90000000000009	-5.1579058890638e-07
20.0	-5.1848826387868e-07
20.09999999999991	-5.211869051891e-07
20.199999999999818	-5.2387997584447e-07
20.300000000000182	-5.2658066351796e-07
20.40000000000009	-5.2927578053641e-07
20.5	-5.3197851457298e-07
20.59999999999991	-5.346822717911e-07
20.699999999999818	-5.3738045835416e-07
20.800000000000182	-5.4008631877878e-07
20.90000000000009	-5.4278655170492e-07
21.0	-5.4549440164919e-07
21.09999999999991	-5.4820333161842e-07
21.199999999999818	-5.5090669093261e-07
21.300000000000182	-5.536176104215e-07
21.40000000000009	-5.5632290241192e-07
21.5	-5.5903592510731e-07
21.59999999999991	-5.6175008467108e-07
21.699999999999818	-5.6445855989296e-07
21.800000000000182	-5.6717453844612e-07
21.90000000000009	-5.6988506003108e-07
22.0	-5.7260319863417e-07
22.09999999999991	-5.753223604188e-07
22.199999999999818	-5.7803595154837e-07
22.300000000000182	-5.8075715969608e-07
22.40000000000009	-5.8347274034531e-07
22.5	-5.8619605169952e-07
22.59999999999991	-5.8892038623526e-07
22.699999999999818	-5.9163903642911e-07
22.800000000000182	-5.9436536048452e-07
22.90000000000009	-5.9708611388487e-07
23.0	-5.9981448430335e-07
23.09999999999991	-6.0254399159021e-07
23.199999999999818	-6.0526775769176e-07
23.300000000000182	-6.0799925449828e-07
23.40000000000009	-6.1072506696291e-07
23.5	-6.1345861013251e-07
23.59999999999991	-6.1619329017049e-07
23.699999999999818	-6.1892217217974e-07
23.800000000000182	-6.2165878489395e-07
23.90000000000009	-6.2438971326628e-07
24.0	-6.2712837234358e-07
24.09999999999991	-6.2986816828925e-07
24.199999999999818	-6.326021662062e-07
24.300000000000182	-6.3534389482811e-07
24.40000000000009	-6.3807993910814e-07
24.5	-6.4082377093655e-07
24.59999999999991	-6.4356868278992e-07
24.699999999999818	-6.4630785345798e-07
24.800000000000182	-6.4905464114418e-07
24.90000000000009	-6.5179585817532e-07
25.0	-6.5454480591143e-07
25.09999999999991	-6.5729489051591e-07
25.199999999999818	-6.6003917709168e-07
25.300000000000182	-6.6279108068557e-07
25.40000000000009	-6.6553741362441e-07
