z	By
0.0	-6.1846167076496e-11
0.09999999999990905	2.513873331722e-09
0.1999999999998181	5.0839483733967e-09
0.3000000000001819	7.6609456556298e-09
0.40000000000009095	1.0232295899471e-08
0.5	1.2810573046806e-08
0.599999999999909	1.5389485241712e-08
0.6999999999998181	1.7962753062761e-08
0.8000000000001819	2.0542948675484e-08
0.900000000000091	2.3117483038959e-08
1.0	2.5698954075892e-08
1.099999999999909	2.8281071706715e-08
1.199999999999818	3.0857520982863e-08
1.300000000000182	3.3440908708826e-08
1.400000000000091	3.6018629856471e-08
1.5	3.86033072175e-08
1.599999999999909	4.1188613408849e-08
1.699999999999818	4.3768249469167e-08
1.800000000000182	4.6354838190155e-08
1.900000000000091	4.8935753227397e-08
2.0	5.1523624478023e-08
2.099999999999909	5.4112121006256e-08
2.199999999999818	5.6694954508885e-08
2.300000000000182	5.9284730014042e-08
2.400000000000091	6.1868846046309e-08
2.5	6.4459896975677e-08
2.599999999999909	6.7051587393507e-08
2.699999999999818	6.9637614785734e-08
2.800000000000182	7.2230591285916e-08
2.900000000000091	7.4817890549639e-08
3.0	7.741213181589e-08
3.099999999999909	8.0007040992314e-08
3.199999999999818	8.2596244510569e-08
3.300000000000182	8.5192418453062e-08
3.400000000000091	8.7782893842814e-08
3.5	9.0380360973086e-08
3.599999999999909	9.2978453380965e-08
3.699999999999818	9.5570847236104e-08
3.800000000000182	9.817021151548e-08
3.900000000000091	1.0076388434754e-07
4.0	1.0336452760384e-07
4.099999999999909	1.0596582455946e-07
4.199999999999818	1.0856140164606e-07
4.300000000000182	1.1116397047317e-07
4.400000000000091	1.1376083364212e-07
4.5	1.1636466012988e-07
4.599999999999909	1.1896914742238e-07
4.699999999999818	1.2156790774043e-07
4.800000000000182	1.2417369532614e-07
4.900000000000091	1.2677371330483e-07
5.0	1.2938079407832e-07
5.099999999999909	1.3198844328599e-07
5.199999999999818	1.3459042236263e-07
5.300000000000182	1.3719937896894e-07
5.400000000000091	1.398026086008e-07
5.5	1.4241282997318e-07
5.599999999999909	1.4502370504488e-07
5.699999999999818	1.4762886735298e-07
5.800000000000182	1.502410214016e-07
5.900000000000091	1.5284744847577e-07
6.0	1.5546089571217e-07
6.099999999999909	1.5807493980446e-07
6.199999999999818	1.6068327113317e-07
6.300000000000182	1.6329863683495e-07
6.400000000000091	1.6590827556229e-07
6.5	1.6852487760843e-07
6.599999999999909	1.7114216177561e-07
6.699999999999818	1.7375367633576e-07
6.800000000000182	1.7637222526901e-07
6.900000000000091	1.7898501880609e-07
7.0	1.816048325054e-07
7.099999999999909	1.8422534253659e-07
7.199999999999818	1.8684002611735e-07
7.300000000000182	1.894617724929e-07
7.400000000000091	1.9207777768315e-07
7.5	1.9470078882478e-07
7.599999999999909	1.9732445366571e-07
7.699999999999818	1.9994232047793e-07
7.800000000000182	2.0256726429579e-07
7.900000000000091	2.051864527175e-07
8.0	2.0781266130143e-07
8.099999999999909	2.1043950937383e-07
8.199999999999818	2.1306058783921e-07
8.300000000000182	2.1568874331024e-07
8.400000000000091	2.183111149634e-07
8.5	2.209405352005e-07
8.599999999999909	2.2357059492606e-07
8.699999999999818	2.261948566229e-07
8.800000000000182	2.2882618111453e-07
8.900000000000091	2.3145175021e-07
9.0	2.3408435367855e-07
9.099999999999909	2.3671762505728e-07
9.199999999999818	2.3934506998557e-07
9.300000000000182	2.4197962034123e-07
9.400000000000091	2.4460834424644e-07
9.5	2.4724414515731e-07
9.599999999999909	2.4988059976749e-07
9.699999999999818	2.5251125634895e-07
9.800000000000182	2.5514898993606e-07
9.900000000000091	2.5778089707273e-07
10.0	2.6041990963677e-07
10.099999999999909	2.6305957590012e-07
10.199999999999818	2.6569341571303e-07
10.300000000000182	2.6833433253159e-07
10.400000000000091	2.7096945132143e-07
10.5	2.7361164711692e-07
10.599999999999909	2.7625449661173e-07
10.699999999999818	2.7889149123439e-07
10.800000000000182	2.8153561970612e-07
10.900000000000091	2.8417395014912e-07
11.0	2.8681932917607e-07
11.099999999999909	2.8946533348062e-07
11.199999999999818	2.9210556817816e-07
11.300000000000182	2.9475290830305e-07
11.400000000000091	2.9739442197751e-07
11.5	3.0004295581421e-07
11.599999999999909	3.0269220019363e-07
11.699999999999818	3.0533561812263e-07
11.800000000000182	3.0798616990069e-07
11.900000000000091	3.1063080996319e-07
12.0	3.1328258387475e-07
12.099999999999909	3.1593503990734e-07
12.199999999999818	3.1858158422438e-07
12.300000000000182	3.2123531923389e-07
12.400000000000091	3.2388317094956e-07
12.5	3.26538184936e-07
12.599999999999909	3.2919379577834e-07
12.699999999999818	3.3184358017024e-07
12.800000000000182	3.3450052683293e-07
12.900000000000091	3.3715156178005e-07
13.0	3.3980970215453e-07
13.099999999999909	3.4246852465003e-07
13.199999999999818	3.4512149227339e-07
13.300000000000182	3.4778165058924e-07
13.400000000000091	3.5043586876782e-07
13.5	3.5309724921717e-07
13.599999999999909	3.5575925494413e-07
13.699999999999818	3.5841540579895e-07
13.800000000000182	3.6107871892455e-07
13.900000000000091	3.6373614875629e-07
14.0	3.6640074085881e-07
14.099999999999909	3.6906590139552e-07
14.199999999999818	3.7172523548179e-07
14.300000000000182	3.7439181710397e-07
14.400000000000091	3.7705243016717e-07
14.5	3.7972014865773e-07
14.599999999999909	3.8238857769102e-07
14.699999999999818	3.8505109500875e-07
14.800000000000182	3.8772083144067e-07
14.900000000000091	3.9038459931362e-07
15.0	3.9305561472247e-07
15.099999999999909	3.9572714172209e-07
15.199999999999818	3.983928991147e-07
15.300000000000182	4.0106579035637e-07
